id	type	address	number	postal_code	municipality	province	location	public	available	hours	latitude	longitude
6106	NA	Avenue Louise   1050 Bruxelles	NA	1050	Bruxelles	Bruxelles-Brussel	NA	NA	NA	NA	50.8200117	4.3705238
3778	NA	Avenue Louise   623 1050 Bruxelles	623	1050	Bruxelles	Bruxelles-Brussel	1er étage à côté d l réception	NA	NA	NA	50.8200117	4.3705238
13564	Appareil fixe-Vast apparaat	Avenue Louise  1050 Bruxelles	NA	1050	Bruxelles	Bruxelles-Brussel	12ème étage - bureaux	Oui-Ja	Non-Nee	Du lundi au vendredi de 9h à 18h	50.8200117	4.3705238
9931	NA	Avenue Louise  24 1050 Bruxelles	24	1050	Bruxelles	Bruxelles-Brussel	NA	NA	NA	NA	50.8347193	4.3564538
9932	NA	Avenue Louise  24 1050 Bruxelles	24	1050	Bruxelles	Bruxelles-Brussel	NA	NA	NA	NA	50.8347193	4.3564538
9933	NA	Avenue Louise  24 1050 Bruxelles	24	1050	Bruxelles	Bruxelles-Brussel	NA	NA	NA	NA	50.8347193	4.3564538
16430	Appareil fixe-Vast apparaat	Avenue Louise  250 1050 Ixelles	250	1050	Ixelles	Bruxelles-Brussel	Au 9ème étage, quand vous entrez par les portes d entrée, c est à droite au fond du couloir.	Non-Nee	Non-Nee	08h30 - 17h30	50.8355735	4.3556693
10431	NA	Avenue Louise  326 1050 Bruxelles	326	1050	Bruxelles	Bruxelles-Brussel	NA	Y	NA	NA	50.8233581	4.3684324
6062	NA	Avenue Louise  375 1050 Brussel	375	1050	Brussel	Bruxelles-Brussel	NA	NA	NA	NA	50.8207703	4.3694105
3630	NA	Avenue Louise  71 1050 Bruxelles	71	1050	Bruxelles	Bruxelles-Brussel	étage -1,zone Stretching	NA	NA	NA	50.8324774	4.3574749
6379	NA	Avenue Louise  71 1050 Bruxelles	71	1050	Bruxelles	Bruxelles-Brussel	NA	NA	NA	NA	50.8324774	4.3574749
9024	NA	Avenue Louise  71 1050 Bruxelles	71	1050	Bruxelles	Bruxelles-Brussel	NA	Y	NA	NA	50.8324774	4.3574749
5089	NA	Avenue Louise 12 1060 Bruxelles	12	1060	Bruxelles	Bruxelles-Brussel	service clientele 3ème étage	NA	NA	NA	50.835068	4.3560397
